DNN-1,DNN-2,Rate,Processors,Memory,Response Time,error_percentage,Baseline-Response,Response Time Inflation,fat_response_time,fat_inflation,Baseline-Sum,Baseline-DNN-2,sum_of_fat_cohost_times,SLA_Level_1,SLA_Level_2,SLA_Level_3,All_SLA_Levels_Violated,sla_level_1_fat,sla_level_2_fat,sla_level_3_fat,all_fat_sla_levels_violated,UL-1,UL-2,SLA_1_Diff,SLA_2_Diff,SLA_3_Diff,SLA1<30,SLA2<30%,SLA3<30%
mnist,dbert,2,12,12,3.5,0,4,0.875,10.8,2.7,468.3,464.3,478.2,1,1,1,0,1,1,1,0,4,1,0,1,3,1,0,0
mnist,dbert,4,12,12,3.5,0,2.4,1.458333333,3.4,1.416666667,160,157.6,113.6,1,1,1,0,1,1,1,0,4,1,0,1,3,1,0,0
mnist,dbert,6,12,12,4,0,2.4,1.666666667,3.6,1.5,182.4,180,125.1,0,1,1,0,1,1,1,0,4,1,0.125,0.75,2.5,1,0,0
mnist,dbert,8,12,12,4.5,0,2.3,1.956521739,3.9,1.695652174,212.1,209.8,134.3,0,1,1,0,1,1,1,0,4,1,0.222222222,0.555555556,2.111111111,1,0,0
mnist,dbert,10,12,12,4.6,0,2.3,2,4.3,1.869565217,251.7,249.4,150.2,0,1,1,0,1,1,1,0,4,1,0.239130435,0.52173913,2.043478261,1,0,0
mnist,dbert,12,12,12,5,0,2.3,2.173913043,5,2.173913043,323.2,320.9,180.8,0,1,1,0,1,1,1,0,4,1,0.3,0.4,1.8,1,0,0
mnist,dbert,14,12,12,5.3,0,2.4,2.208333333,5.9,2.458333333,438.9,436.5,226.3,0,1,1,0,1,1,1,0,4,1,0.339622642,0.320754717,1.641509434,0,0,0
mnist,dbert,16,12,12,5,0,2.6,1.923076923,14.4,5.538461538,696.9,694.3,310.8,0,1,1,0,1,1,1,0,4,1,0.3,0.4,1.8,1,0,0
mnist,dbert,18,12,12,4.8,0,2.5,1.92,43.7,17.48,1171.4,1168.9,456,0,1,1,0,1,1,1,0,4,1,0.270833333,0.458333333,1.916666667,1,0,0
mnist,dbert,20,12,12,4.8,0,2.4,2,563.7,234.875,3314.3,3311.9,1612.1,0,1,1,0,0,1,1,0,4,1,0.270833333,0.458333333,1.916666667,1,0,0
mnist,resnet,2,6,6,4.4,0,3.6,1.222222222,3.6,1,157.3,153.7,122.1,0,1,1,0,1,1,1,0,4,2,0.204545455,0.590909091,2.181818182,1,0,0
